1164,1028,1058,1018,1007,996,
1077,985,1128,1053,1001,986,
1051,970,1095,991,1054,997,
1034,1054,1043,1020,994,988,
1102,1040,1046,1005,995,1016,
1066,996,1060,987,1007,1033,
1066,966,1069,984,1001,1043,
1034,962,1071,1012,1012,1029,
1034,1049,972,1007,936,1037,
1062,1075,973,933,971,965,
1035,1061,955,943,981,935,
1017,989,965,972,933,933,
1067,1077,950,970,903,979,
1074,1053,996,902,961,954,
998,1027,966,972,940,926,
1079,1017,958,986,958,933,
1008,1050,1006,941,951,970,
987,1041,926,986,1008,1013,
949,1008,992,1008,999,1031,
1029,1075,954,981,969,1042,
1045,1012,998,1020,1013,1009,
1037,1053,950,941,1029,1041,
1025,1134,1031,978,1013,1021,
939,1068,1054,959,968,977,
